108,airtsart,2705,705773,1311,82,1312,2014-02-01 17:57:01.812,f,1500,328,White
109,Neuronchess,894,535293,387,29,478,2013-11-30 17:45:47.859,f,1732,-15,Black
110,LEGENDARY_ERFAN,384,237591,135,9,236,,f,1231,-9,White
111,etewut,15276,5366355,7117,708,7451,2023-06-10 23:58:17.569,f,1319,-3,Black
112,peter2,786,362210,312,32,442,,f,1507,14,White
113,rasmussenesq,52707,11581629,27219,1621,23865,2024-11-21 21:48:38.062,f,1653,-15,Black
114,dipo_a,5569,2265957,1920,122,3524,2024-11-17 18:30:08.173,f,1664,16,White
115,namesnik,33326,3657544,15625,798,16901,2024-11-19 23:16:19.066,f,1554,-11,White
116,Hephesto,3398,478180,1742,91,1565,2024-11-15 23:30:03.351,f,1855,-11,Black
117,blizz,16,3815,3,1,12,,f,1500,-164,Black
118,TwoKings,0,0,0,0,0,,f,1465,-8,White
119,ADRNLNNJECTD,2548,1600462,1255,96,1197,2020-05-07 20:47:54.125,f,1562,8,Black
120,Danut68,409,194785,186,6,217,,f,1552,9,White
121,serge,0,0,0,0,0,,f,1478,-9,Black
122,Shlomo,60,21150,25,0,35,,f,1567,87,White
123,BCJ,11770,1500079,5890,428,5438,2023-07-29 14:51:17.184,f,1747,-28,Black
124,GEZ,2983,1282868,1116,102,1738,2014-03-18 10:41:56.604,f,1395,13,White
125,jlfs,0,0,0,0,0,,f,1452,10,Black
126,jesse,41293,6910830,19722,642,20923,2024-11-21 18:40:21.085,f,1461,-11,White
127,MARCO0019,219,169746,78,6,135,2013-06-27 01:51:52.513,f,1167,-39,Black
128,Luminosity,127676,18086889,70780,3518,53358,2022-04-30 22:33:31.672,f,1864,-11,Black
129,vivelafete,1452,582881,876,24,552,2013-08-21 03:56:50.346,f,1882,-21,White
130,dissident_with_love,4462,3619612,2039,130,2292,2024-11-21 18:36:24.545,f,1768,13,White
131,4di4,8,0,0,0,8,,f,1500,-400,Black
132,lamobot,1316,1029956,453,46,817,2014-06-27 18:18:56.704,f,1281,35,White
133,TheWeebles,98,45058,34,3,61,2016-07-05 22:25:53.843,f,1562,-16,White
134,2girls1cup,2712,694515,1632,56,1023,2014-08-11 16:20:32.369,f,1795,8,Black
135,throwaway,241,109697,78,8,154,2023-02-19 22:59:05.109,f,1252,-42,Black
136,SiNiC,895,539738,429,24,442,2014-02-09 02:58:44.175,f,1637,6,Black
137,Rambo007max,1924,1147004,947,61,915,2024-05-04 14:36:02.695,f,1584,-9,White
